"Date","Price","Open","High","Low","Vol.","Change %"
"20/06/2024","11.220","11.320","12.050","11.210","9.70M","-1.49%"
"18/06/2024","11.390","12.400","12.450","10.910","16.02M","-3.06%"
"17/06/2024","11.750","10.330","12.370","10.030","22.82M","14.97%"
"14/06/2024","10.220","9.900","10.325","9.630","8.10M","2.40%"
"13/06/2024","9.980","9.890","10.340","9.740","8.82M","2.25%"
"12/06/2024","9.760","9.700","10.100","9.370","10.40M","-1.11%"
"11/06/2024","9.870","8.490","9.950","8.350","12.06M","16.39%"
"10/06/2024","8.480","8.550","8.770","8.090","7.16M","-1.62%"
"07/06/2024","8.620","9.160","9.200","8.580","7.30M","-7.51%"
"06/06/2024","9.320","8.720","9.490","8.700","10.09M","6.03%"
"05/06/2024","8.790","8.720","9.600","8.389","15.72M","1.38%"
"04/06/2024","8.670","8.360","8.700","7.920","7.82M","3.46%"
"03/06/2024","8.380","8.040","8.630","7.560","13.82M","1.27%"
"31/05/2024","8.275","8.510","9.200","7.990","15.50M","-1.61%"
"30/05/2024","8.410","9.240","9.400","7.800","37.90M","-6.76%"
"29/05/2024","9.020","6.170","9.350","5.680","109.90M","69.23%"
"28/05/2024","5.330","4.990","5.420","4.650","10.17M","12.45%"
"24/05/2024","4.740","4.180","4.760","4.150","6.52M","14.49%"
"23/05/2024","4.140","4.650","4.650","4.000","6.40M","-11.06%"
"22/05/2024","4.655","4.600","4.880","4.170","8.46M","-1.17%"
"21/05/2024","4.710","5.600","5.690","4.430","15.85M","-10.80%"
"20/05/2024","5.280","4.430","5.770","4.340","24.65M","16.30%"
"17/05/2024","4.540","4.100","5.120","4.063","35.88M","12.66%"
"16/05/2024","4.030","3.140","4.160","3.070","76.05M","68.62%"
"15/05/2024","2.390","2.600","2.600","2.290","11.02M","-4.78%"
"14/05/2024","2.510","2.250","2.580","2.250","4.18M","12.05%"
"13/05/2024","2.240","2.290","2.315","2.120","3.46M","-0.88%"
"10/05/2024","2.260","2.370","2.450","2.260","1.32M","-4.24%"
"09/05/2024","2.360","2.300","2.360","2.240","1.25M","2.61%"
"08/05/2024","2.300","2.310","2.350","2.251","999.88K","-0.86%"
"07/05/2024","2.320","2.420","2.450","2.304","1.47M","-6.45%"
"06/05/2024","2.480","2.460","2.600","2.460","1.70M","1.22%"
"03/05/2024","2.450","2.330","2.480","2.325","2.75M","6.52%"
"02/05/2024","2.300","2.290","2.355","2.250","1.47M","1.77%"
"01/05/2024","2.260","2.180","2.350","2.170","1.44M","2.26%"
"30/04/2024","2.210","2.290","2.305","2.200","1.49M","-5.15%"
"29/04/2024","2.330","2.260","2.380","2.240","1.83M","4.48%"
"26/04/2024","2.230","2.175","2.250","2.170","1.43M","1.83%"
"25/04/2024","2.190","2.110","2.200","2.100","1.74M","2.34%"
"24/04/2024","2.140","2.160","2.210","2.120","1.52M","-0.47%"
"23/04/2024","2.150","2.150","2.210","2.110","2.24M","-0.46%"
"22/04/2024","2.160","2.100","2.180","2.065","3.12M","3.35%"
"19/04/2024","2.090","2.100","2.145","2.075","2.37M","-2.34%"
"18/04/2024","2.140","2.040","2.210","2.040","3.13M","4.39%"
"17/04/2024","2.050","2.060","2.100","2.030","1.59M","1.49%"
"16/04/2024","2.020","2.070","2.080","1.990","2.57M","-2.88%"
"15/04/2024","2.080","2.160","2.190","2.080","2.37M","-2.35%"
"12/04/2024","2.130","2.110","2.200","2.070","3.18M","0.95%"
"11/04/2024","2.110","2.170","2.190","2.050","2.55M","-1.40%"
"10/04/2024","2.140","2.250","2.250","2.100","3.50M","-7.36%"
"09/04/2024","2.310","2.280","2.350","2.260","1.35M","1.76%"
"08/04/2024","2.270","2.260","2.320","2.221","2.01M","2.95%"
"05/04/2024","2.205","2.270","2.300","2.180","2.81M","-2.00%"
"04/04/2024","2.250","2.390","2.430","2.250","4.79M","-3.02%"
