"Date","Price","Open","High","Low","Vol.","Change %"
"29/10/2024","175.64","177.76","179.20","175.16","1.69M","-1.43%"
"28/10/2024","178.19","177.76","179.90","177.12","1.79M","-3.36%"
"25/10/2024","184.38","182.62","184.51","181.85","2.15M","1.92%"
"24/10/2024","180.91","182.35","183.14","180.27","1.07M","-0.12%"
"23/10/2024","181.12","182.34","183.25","179.96","1.42M","-1.58%"
"22/10/2024","184.03","184.22","185.05","182.28","1.07M","0.89%"
"21/10/2024","182.41","185.26","186.74","182.04","1.46M","-0.86%"
"18/10/2024","183.99","183.44","184.87","181.79","1.21M","0.02%"
"17/10/2024","183.96","182.07","184.09","180.75","1.75M","0.82%"
"16/10/2024","182.46","180.22","183.62","180.22","1.92M","1.50%"
"15/10/2024","179.77","183.66","184.24","179.65","2.85M","-5.73%"
"14/10/2024","190.70","192.42","193.31","189.74","1.56M","-2.19%"
"11/10/2024","194.96","192.66","196.00","192.45","1.37M","0.46%"
"10/10/2024","194.06","194.70","197.68","193.96","1.43M","0.16%"
"09/10/2024","193.75","192.38","194.71","190.81","2.27M","-0.01%"
"08/10/2024","193.77","196.12","196.88","191.83","10.79M","-2.87%"
"07/10/2024","199.50","195.95","200.47","195.00","3.78M","2.51%"
"04/10/2024","194.61","191.56","195.55","189.50","3.49M","3.35%"
"03/10/2024","188.30","181.87","188.82","180.88","3.02M","3.87%"
"02/10/2024","181.29","182.62","183.30","178.53","3.04M","2.12%"
"01/10/2024","177.52","170.92","178.79","169.99","3.15M","2.97%"
"30/09/2024","172.40","170.11","172.58","168.76","2.77M","1.04%"
"27/09/2024","170.63","170.55","173.25","169.37","5.08M","1.05%"
"26/09/2024","168.86","176.04","177.14","168.09","4.65M","-6.46%"
"25/09/2024","180.53","185.43","185.84","179.86","1.74M","-2.64%"
"24/09/2024","185.43","188.00","189.12","184.19","3.05M","0.10%"
"23/09/2024","185.25","182.24","186.19","181.64","3.25M","2.35%"
"20/09/2024","181.00","179.27","182.18","178.05","7.86M","-0.35%"
"19/09/2024","181.63","182.40","183.88","179.33","1.18M","1.97%"
"18/09/2024","178.12","179.51","182.90","177.88","1.61M","-0.92%"
"17/09/2024","179.77","174.21","180.33","174.21","1.82M","2.84%"
"16/09/2024","174.81","174.00","176.24","171.84","1.64M","1.39%"
"13/09/2024","172.42","171.23","174.55","171.23","1.47M","0.91%"
"12/09/2024","170.86","169.97","177.97","167.93","2.67M","1.40%"
"11/09/2024","168.50","172.42","172.42","167.84","2.58M","-1.74%"
"10/09/2024","171.49","178.83","179.21","168.92","3.14M","-4.31%"
"09/09/2024","179.21","180.52","180.84","178.81","1.44M","-0.29%"
"06/09/2024","179.73","183.64","185.38","178.81","1.51M","-2.33%"
"05/09/2024","184.01","185.90","186.33","182.88","1.31M","-0.15%"
"04/09/2024","184.28","188.36","189.25","184.23","1.10M","-1.71%"
"03/09/2024","187.48","191.43","191.43","186.40","1.41M","-3.91%"
"30/08/2024","195.11","194.25","195.60","192.76","1.81M","-0.85%"
"29/08/2024","196.79","197.09","198.63","194.42","1.05M","1.14%"
